codigo_completo,naturaleza,grupo,subgrupo,codigo,nombre,descripcion
2.4.05.01,2,4,05,01,Exportaciones de Petróleo de PETROECUADOR Ex-Consorcio,Ingresos provenientes de exportaciones directas de petróleo de los campos del Ex-Consorcio y del crudo reducido de la Refinería Amazonas que se inyecta al oleoducto Trans ecuatoriano
2.4.05.02,2,4,05,02,Exportaciones de Petróleo de PETROECUADOR de Nororiente,Ingresos provenientes de exportaciones directas de petróleo de los campos de Nororiente.
2.4.05.03,2,4,05,03,Exportaciones de Petróleo de Contratos de Prestación de Servicios,Ingresos provenientes de las exportaciones directas de petróleo de contratos de prestación de servicios.
2.4.05.04,2,4,05,04,Exportaciones de Petróleo de Regalías,"Ingresos provenientes delasexportacionesde petróleo de regalías cobradas sobre la producción dePETROAMAZONASEP y de contratos de: participación, campos marginales, alianzas operativas y otros."
2.4.05.06,2,4,05,06,Exportaciones de Petróleo de Contratos de Participación,Ingresos provenientes de exportaciones directas de petróleo que le corresponden al Estado en contratos de participación
2.4.05.09,2,4,05,09,Exportaciones de Petróleo por Diferencial de Calidad,"Ingresos por exportaciones directa sde petróleo , provenientes delvolumen diferencial pagado por las empresas privadas ,en la mezcla del crudo pesado de su propiedad con el crudo liviano de PETROAMAZONAS EP."
2.4.05.11,2,4,05,11,Exportaciones de Petróleo de Contratos de Servicios Específicos,Ingresos provenientes de exportaciones directas de petróleo de contratos de servicios específicos.
2.4.05.12,2,4,05,12,Exportaciones de Petróleo de hasta 23 Grados API,"Ingresos que alimentan la cuenta de Reactivación Productiva y Social, Desarrollo Científico – Tecnológico y de la Esta bilización Fiscal ,CEREPS provenientes delaparticipacióndel Estado en la producción del petróleo crudodehasta23 grados API de los contratos de participación para la exploración y explotación de hidrocarburos."
2.4.05.13,2,4,05,13,Exportaciones de Petróleo del Bloque 15 y Unificados,Ingresos provenientes de las exportaciones directas de petróleo crudo del Bloque 15 y campos unificados.
2.4.05.99,2,4,05,99,Otros No Especificados,Ingresos provenientes de exportaciones de petróleo no clasificadas en los ítems anteriores.
2.4.06,2,4,06,,Ventas de Productos de la ActividadMinera,Ingresos provenientes de las ventas de productos de la actividad minera.
2.4.06.01,2,4,06,01,Venta de Minerales Metálicos provenientes de la Actividad Minera,Ingresos por la venta de productos metálicos provenientes de la actividad minera.
2.4.06.02,2,4,06,02,Venta de Minerales No Metálicos resultado de la Actividad Minera,Ingresos por las ventas de productos no metálicos provenientes de la actividad minera.
2.4.06.03,2,4,06,03,Ganancia por Tenencia de Minerales,Ingresos que corresponden a la diferencia entre el valor en libros y el precio de venta de minerales metálicos y no metálicos
2.7,2,7,,,RECUPERACIÓN DE INVERSIONES Y DE RECURSOS PÚBLICOS,"Comprende los ingresos por la liquidación de inversiones en títulos – valores; acciones y participaciones de capital de propiedad del Estado , recuperación de recursos públicos por efectodeResoluciones Judiciales ,CompañíasAseguradorasy préstamos otorgados."
2.7.01,2,7,01,,RecuperacióndeInversionesenTítulos–Valores,"Ingresos por la recuperación de inversiones en depósitos , títulos –valores , acciones y participaciones de capital"
2.7.01.01,2,7,01,01,Certificados del Tesoro Nacional,Ingresos provenientes de la recuperación de inversiones en certificados emitidos por el Tesoro Nacional.
2.7.01.02,2,7,01,02,Bonos del Estado,Ingresos provenientes de la recuperación de inversiones en bonos del Estado.
2.7.01.03,2,7,01,03,Depósitos a Plazo en Moneda de Curso Legal,Ingresos provenientes de la recuperación de depósitos que se mantienen en bancos comerciales u otras instituciones financieras autorizadas.
2.7.01.04,2,7,01,04,Venta de Acciones,Ingresos provenientes de la venta ocesióndela propiedad en acciones que mantengan los entes públicos en sociedades e instituciones productivas o financieras.
2.7.01.05,2,7,01,05,Depósitos a Plazo en Moneda Extranjera,Ingresos provenientes de la recuperación de depósitos en moneda extranjera que se mantienen en bancos comerciales u otras instituciones financieras autorizadas.
2.7.01.06,2,7,01,06,Venta de Participaciones de Capital,Ingresos provenientes de la venta ocesióndela propiedad en participaciones de capital que mantengan los entes públicos en sociedades e instituciones productivas o financieras. 16
2.7.01.07,2,7,01,07,RecuperacióndeParticipacionesFiduciarias,Ingresos provenientes de la recuperación en participaciones fiduciarias.
2.7.01.08,2,7,01,08,RecuperacióndeInversionesrealizadasenelBIESS,Ingresos provenientes de la recuperación de inversiones realizadas por el IESS en el BIESS.
2.7.01.98,2,7,01,98,Otros Títulos,Ingresos provenientes de la recuperación de inversiones en otros títulos.
2.7.01.99,2,7,01,99,Otros Valores,Ingresos provenientes de la recuperación de inversiones en otros valores.
2.7.02,2,7,02,,Recuperación de Préstamos,Ingresos por la recuperación de préstamos otorgados a terceros.
2.7.02.01,2,7,02,01,De Entidades del Presupuesto General del Estado,Ingresos provenientes de la recuperación de préstamos concedidos a entidades del Presupuesto General del Estado.
2.7.02.02,2,7,02,02,De Entidades Descentralizadas y Autónomas,Ingresos provenientes de la recuperación de préstamos concedidos a entidades descentralizadas y autónomas.
2.7.02.03,2,7,02,03,De Empresas Públicas,Ingresos provenientes de la recuperación de préstamos concedidos a empresas públicas.
2.7.02.04,2,7,02,04,De Entidades de Gobiernos Autónomos Descentralizados,Ingresos provenientes de la recuperación de préstamos otorgados a entidades de Gobiernos Autónomos Descentralizados.
2.7.02.05,2,7,02,05,De la Seguridad Social,Ingresos provenientes de la recuperación de préstamos concedidos a la seguridad social.
2.7.02.06,2,7,02,06,De Entidades Financieras Públicas,Ingresos provenientes de la recuperación de préstamos otorgados a entidades financieras públicas.
2.7.02.07,2,7,02,07,Del Sector Privado,Ingresos provenientes de la recuperación de préstamos concedidos al sector privado.
2.7.02.15,2,7,02,15,De Organismos Externos Partícipes del Fondo Ecuador - Venezuela para el Desarrollo,"Ingresos provenientes de la recuperación de préstamos concedidos a organismos externos para proyectos binacionales productivos, a través del Fondo Ecuador Venezuelapara el Desarrollo FEVDES."
2.7.02.16,2,7,02,16,De Recuperación de Préstamos Quirografarios y Especiales,Ingresos provenientes de la recuperación de préstamos quirografariosy especiales otorgadosporel IESS asusafiliadosy beneficiarios anteriores a la apertura del BIESS.
2.7.02.17,2,7,02,17,De Recuperación de Préstamos Hipotecarios y Cartera de Instituciones Financieras,Ingresos provenientes de larecuperación de préstamos hipotecariosotorgados porel IESSa susafiliados ybeneficiarios anteriores a la apertura del BIESS y compra de cartera ainstituciones financieras.
2.7.03,2,7,03,,Recuperación de Inversiones en Títulos - Valores,"Ingresos por la recuperación de inversiones en depósitos, títulos valores, acciones y participaciones de capital."
2.7.03.01,2,7,03,01,Certificados del Tesoro Nacional,Ingresos provenientes de la recuperación de inversiones en certificados emitidos por el Tesoro Nacional.
2.7.03.02,2,7,03,02,Bonos del Estado,Ingresos provenientes de la recuperación de inversiones en bonos del Estado.
2.7.03.04,2,7,03,04,Venta de Acciones,Ingresos provenientes de la venta ocesióndela propiedad en acciones que mantengan los entes públicos en sociedades e instituciones productivas o financieras.
2.7.03.06,2,7,03,06,Venta de Participaciones de Capital,Ingresos provenientes de la venta ocesiónde las participaciones de capital que mantengan los entes públicos en sociedades e instituciones productivas o financieras.
2.7.03.07,2,7,03,07,Participaciones Fiduciarias,Ingresos provenientes de la recuperación de participaciones fiduciarias que mantengan las instituciones y organismos públicos en entes autorizados.
2.7.03.98,2,7,03,98,Otros Títulos,Ingresos provenientes de la recuperación de inversiones en otros títulos.
2.8,2,8,,,TRANSFERENCIAS O DONACIONES DE CAPITAL E INVERSIÓN,"Comprende los fondos recibidos sin contraprestación del sector internooexterno, mediante transferencias o donaciones que serán destinados a financiar egresos de capital e inversión."
2.8.01,2,8,01,,Transferencias o Donaciones de Capital e Inversión del Sector Público,Transferencias o donaciones de capital e inversión recibidas de entidades del sector público.
2.8.01.01,2,8,01,01,Del Presupuesto General del Estado,Transferencias o donaciones de capital e inversión recibidasde entidades y organismos que integranel Presupuesto General del Estado.
2.8.01.02,2,8,01,02,De Entidades Descentralizadas y Autónomas,Transferencias de capital e inversión recibidas de entidades descentralizadas y autónomas.
2.8.01.03,2,8,01,03,De Empresas Públicas,Transferencias o donaciones de capital e inversión recibidas de empresas públicas.
2.8.01.04,2,8,01,04,De Entidades de Gobiernos Autónomos Descentralizados,Transferencias o donaciones de capital e inversión recibidas de organismos de gobiernos autónomos descentralizados.
2.8.01.05,2,8,01,05,De la Seguridad Social,Transferencias o donaciones de capital e inversión recibidas de la Seguridad Social.
2.8.01.06,2,8,01,06,De Entidades Financieras Públicas,Transferencias o donaciones de capital e inversión recibidas de entidades financieras públicas.
2.8.01.08,2,8,01,08,De Cuentas o Fondos Especiales,Transferencias o donaciones de capital e inversión recibidas de cuentas o fondos especiales. 17
2.8.01.10,2,8,01,10,DeFondosdeContingencias,Transferencias o donaciones de capital e inversión recibidas para cubrir obligaciones generadas de la ocurrencia de siniestros.
2.8.01.11,2,8,01,11,De Convenios Legalmente Suscritos,Transferencias o donaciones de capital e inversión recibidas por recuperación de obligaciones adquiridas en convenios legalmente suscritos.
2.8.02,2,8,02,,Transferencias o Donaciones de Capital e Inversión del Sector Privado Interno,Transferencias o donaciones de capital e inversión recibidasde personas naturales o sociedades privadas residentes en el país.
2.8.02.03,2,8,02,03,Donacionesde Capital del Sector Privado Financiero,Donaciones de capital recibidas de entidades del sector financiero residentes en el país.
2.8.02.04,2,8,02,04,Donacionesde Capital del Sector Privado no Financiero,"Donaciones de capital recibidas de personas naturales, jurídicas o sociedades de hecho residentes en el país."
2.8.02.05,2,8,02,05,De las Utilidades de Concesionarios Mineros,"Transferencias del Estado encalidaddepropietariode los recursos naturales norenovables, provenientes de las utilidades de los concesionarios mineros."
2.8.02.11,2,8,02,11,Transferencias del Sector Privado no Financiero,Transferencias de inversión recibidas del sector privado no financiero por recuperación de obligaciones adquiridas en convenios legalmente suscritos.
2.8.03,2,8,03,,Donacionesde Capital del Exterior,"Donaciones de capital recibidas de personas naturales o jurídicas sin residencia en el país, de gobiernos y organismos gubernamentales y multilaterales."
2.8.03.01,2,8,03,01,De Organismos Multilaterales,Donaciones recibidas de organismos multilaterales.
2.8.03.02,2,8,03,02,De Gobiernos y Organismos Gubernamentales,Donaciones recibidas de gobiernos y organismos gubernamentales.
2.8.03.03,2,8,03,03,Del Sector Privado Financiero,Donaciones recibidas de entidades del sector privado financiero.
2.8.03.04,2,8,03,04,Del Sector Privado no Financiero,Donaciones recibidas de entidades del sector privado no financiero.
2.8.04,2,8,04,,Aportes y Participaciones del Sector Público,Aportes y participaciones en ingresos según lo determinan las disposiciones legales vigentes.
2.8.04.01,2,8,04,01,Del Fondo de Inversión Petrolera,"Aportes recibidos por participación en el fondo de inversión petrolera, financiado con recursos generados de la venta de crudo y derivados."
2.8.04.02,2,8,04,02,De Exportación de Hidrocarburos yDerivados,Aportes recibidos por participación en las exportaciones de crudo y derivados de petróleo.
2.8.04.08,2,8,04,08,De Cuentas y Fondos Especiales,Aportes recibidos por participación en fondos y cuentas especiales.
2.8.04.99,2,8,04,99,Otras Participaciones y Aportes,"Ingresos provenientes de otros conceptos, no considerados en los ítems anteriores."
2.8.06,2,8,06,,Aportes y Participaciones de Capital e Inversión a los Gobiernos Autónomos Descentralizados y Regímenes,"Especiales Aportes y participaciones determinadas en cuerpos legales específicos, destinados exclusivamente a capital e inversión"
2.8.06.01,2,8,06,01,De Compensaciones a Gobiernos Autónomos Descentralizados Municipales por Leyes y Decretos,Transferencia de recursos a favor de los Gobiernos Autónomos Descentralizados Municipales específicos por compensaciones establecidas en leyes y decretos.
2.8.06.02,2,8,06,02,De Compensaciones a Gobiernos Autónomos Descentralizados Provinciales por Leyes y Decretos,Transferencia de recursos a favor de los Gobiernos Autónomos Descentralizados Provinciales específicos por compensaciones establecidas en leyes y decretos.
2.8.06.08,2,8,06,08,Aporte a Juntas Parroquiales Rurales,Transferencia de recursos a favor de las Juntas Parroquiales Rurales.
2.8.06.09,2,8,06,09,Aporte según Ley 47 y su Reforma,"Transferenciade recursos afavorde Gobiernos Autónomos Descentralizados Provinciales , Municipales y Parroquiales de las provincias de Azuay, Cañar, Morona Santiago y Tungurahua, destinados a no permanente e inversión."
2.8.06.42,2,8,06,42,Del Presupuesto General del Estado a Gobiernos Autónomos Descentralizados Provinciales por el Ejercicio de la,Competencia de Riego y Drenaje Transferencias de recursos del Presupuesto General del Estado a gobiernos autónomos descentralizados provinciales por el ejercicio de la competencia de riego y drenaje.
2.8.06.54,2,8,06,54,DelPresupuestoGeneraldelEstadoalosGobiernosAutónomosDescentralizadosMetropolitanosyMunicipalespara,"el Ejercicio de la Competencia para Preservar el Patrimonio Arquitectónico y Cultural Transferencias de recursos del Presupuesto General del Estado a favor de los gobiernos autónomos descentralizados metropolitano sy municipales para p reserva r, mantener ydifundirel patrimonio arquitectónico ,cult uralyconstruirlosespacios públicos para esos fines."
2.8.07,2,8,07,,Participaciones de Capital de la Fuente Fiscal del Presupuesto General del Estado en los Ingresos Petroleros,Participaciones de capital en los ingresos petroleros establecidos en disposiciones legales que sedeterminan como fuente de financiamiento fiscal del Presupuesto General del Estado.
2.8.07.36,2,8,07,36,De la Venta Anticipada de Petróleo,Transferencia para compensación por la venta anticipada de petróleo.
2.8.08,2,8,08,,Participaciones de Capital de los Entes Públicos en los Ingresos Petroleros,"Participaciones de capital que les corresponde a las entidades, organismos y fondos públicos."
2.8.08.01,2,8,08,01,Participaciones de Capital en los Ingresos Petroleros,Participaciones de entes públicos esta blecidasen disposiciones legales 18
2.8.10,2,8,10,,AsignaciónPresupuestariadeValoresequivalentesalImpuestoalValorAgregado(IVA),"Transferencias de capital provenientes del Presupuesto General del Estado alvaloragregadoIVApagado, en aplicación a la Ley de Fomento Ambiental y Optimización de los ingresos del Estado."
2.8.10.01,2,8,10,01,DelPresupuestoGeneraldeEstadoaGobiernosAutónomosDescentralizadosProvinciales.,Transferencias de capital por compensacióndelIVApagado por las entidades de los Gobiernos Autónomos Descentralizados Provinciales.
2.8.10.02,2,8,10,02,Del Presupuesto General de Estado a Gobiernos Autónomos Descentralizados Municipales.,Transferencias de capital por compensacióndelIVApagado por las entidades de los Gobiernos Autónomos Descentralizados Municipales.
2.8.10.03,2,8,10,03,Del Presupuesto General de Estado a Gobiernos Autónomos Descentralizados Parroquiales Rurales.,Transferencias de capital por compensacióndelIVApagado por las entidades de los Gobiernos Autónomos Descentralizados Parroquiales Rurales.
